,B03_Green_,B02_Blue_4,B12_SWIR_2,B11_SWIR_1,B8A_VRE_86,B07_VRE_78,B06_VRE_74,B05_VRE_75,B04_Red_66,outlier
43,3474.0,2946.0,5574.0,6268.0,5107.0,5000.0,4729.0,4432.0,3977.0,True
44,3469.0,2946.0,5567.0,6252.0,5180.0,4986.0,4713.0,4437.0,3982.0,True
45,3450.0,2927.0,5486.0,6179.0,5118.0,4973.0,4709.0,4405.0,3966.0,True
46,2814.0,2382.0,4670.0,5560.0,4857.0,4653.0,4330.0,3772.0,3277.0,False
47,2974.0,2524.0,4609.0,5610.0,4964.0,4823.0,4400.0,3771.0,3371.0,False
48,2540.0,2234.0,4785.0,5319.0,3897.0,3758.0,3487.0,3192.0,2909.0,True
49,2794.0,2476.0,5090.0,5709.0,4211.0,4055.0,3796.0,3509.0,3202.0,False
50,2905.0,2493.0,5128.0,5727.0,4382.0,4262.0,3955.0,3603.0,3319.0,False
51,2531.0,2234.0,4781.0,5316.0,4040.0,3833.0,3581.0,3199.0,2896.0,True
52,2451.0,2201.0,4617.0,5095.0,3823.0,3681.0,3429.0,3060.0,2785.0,True
53,3363.0,2882.0,5459.0,6054.0,4965.0,4850.0,4576.0,4320.0,3848.0,True
54,2496.0,2213.0,4438.0,5032.0,4209.0,4330.0,3957.0,3346.0,2851.0,False
55,2585.0,2315.0,4770.0,5144.0,3889.0,3738.0,3513.0,3221.0,2913.0,True
56,3173.0,2653.0,4916.0,5688.0,5054.0,4901.0,4640.0,3988.0,3694.0,False
57,2695.0,2289.0,4471.0,5510.0,4770.0,4726.0,4261.0,3732.0,3138.0,False
58,2690.0,2294.0,4368.0,5434.0,4708.0,4553.0,4147.0,3539.0,3118.0,True
59,2660.0,2254.0,4205.0,5231.0,4629.0,4516.0,4124.0,3550.0,3151.0,True
60,2669.0,2266.0,4228.0,5167.0,4611.0,4429.0,4069.0,3484.0,3088.0,True
61,2825.0,2415.0,4648.0,5699.0,4512.0,4424.0,4075.0,3745.0,3345.0,False
62,2837.0,2385.0,4507.0,5613.0,4504.0,4414.0,4168.0,3735.0,3380.0,False
63,3373.0,2823.0,4889.0,6143.0,5131.0,5013.0,4703.0,4303.0,3964.0,False
64,3342.0,2865.0,5462.0,6100.0,4965.0,4848.0,4599.0,4238.0,3774.0,True
65,3370.0,2904.0,5491.0,6209.0,5010.0,4901.0,4603.0,4235.0,3812.0,True
